Text,Polarity,Label
online fine  forget second pc vacation dea crashed yrs awhile,Depression,1
aww run lucky girls cute town hospital visit black ticket,Non Depression,0
sorry lt thanks  hear  pretty  eat  around  awww  hungry gave,Depression,1
oh  win  date waste  stage  cats  crack  contact  poop  editing,Depression,1
really  im  next  wont  half  mad  episode  reason  loved  hills,Non Depression,0
mom  omg  r  alarm  asked  matter  difference  lmfao  knight  shoulda,Depression,1
still  feeling  hour  busy  tummy  email  dark  migraine  emails,Depression,1
see  missed  stupid bring  spend  book  bus  replies  feed  tons,Depression,1
looking  least  feels  forward  slept  ppl  garden  via  blackberry  happening,Non Depression,0
hours  thing  kinda  face  worse  past  words  swollen  leg  cooking,Non Depression,0
w  david  super  g  dear  realized  store  june  losing  walking,Depression,1
left  say  broke  came  machine  empty  ordered  driver  belly  pbr,Depression,1
needs  rest  paper  nite  excited  red  wishes  agree  fixed  joy,Depression,1
na  wan  man  something  wrong  turned  train  decided  special  iz,Non Depression,0
wow  times  full  minutes hi  wtf  road  add  posted  um,Non Depression,0
back  though  guess  give  pain  dad  nah  doctor  grammar  girl  craigmiller,Depression,1
early  yet  hurts  hell  doubt  dreaming  beauty  spots  assembly  shineonmedia,Depression,1
way  ugh  best  learn  pizza  although  mouth  apps  language  trend,Non Depression,0
haha  listening  high  wit  puppy  bro  poo  oooh  drama  covered,Non Depression,0
looks  like  internet  stuck  f  sound  goin  hang  green  ny,Depression,1
mean  office  happen  hit  problem  felt  london  none  confused  myspace,Depression,1
stop  watched  months  ah  crying  funny  non  itunes  cousin  australia,Depression,1
think  done  crap  k  chance  nope  minute  bar  fish  twit,Non Depression,0
gone  boring  com  pics  small  living  lie  library  straight  asap,Non Depression,0
one  x  hahaha  mins  mileycyrus  loves  files  session  impossible  file,Non Depression,0
little  first  let  baby  cry  beach  low  foot  screaming  boooo,Depression,1
work  tired  poor  yay  worst  eyes  yup  tough  schedule  fault,Depression,1
time  hair  studying  taking  next  mac  plus  waking  uni  closed,Non Depression,0
last  night  hope  nothing  wake  shame  shower  bloody  miserable  crab,Depression,1
longer  yea  heading  turn  nobody  message  taken  failed  middle  direct,Depression,1
hate  fun  ass  city  completely  ps  hes  access  websites  soda,Depression,1
made  end  th  happened  hmm  eye  books  easy  glasses  third,Non Depression,0
wish  come  happy  another  wait  weather  hot  birthday  nd  dry,Non Depression,0
"u  would  make  tho  guys  hey  saw  cuz  upset  meet""",Depression,1
